player,season,playoffs,Game_Type_Regular_Tot,Game_Type_Playoffs_Tot,Shot_Made,Total_Game_Played,Total_FT_Made,Total_FTA,FT_Pct,Game_Type
Brevin Knight,2006 - 2007,regular,128,0,103,35,103,128,0.805,regular
Brevin Knight,2007 - 2008,regular,71,0,62,30,62,71,0.873,regular
Brevin Knight,2008 - 2009,regular,64,0,48,24,48,64,0.75,regular
Brian Cardinal,2008 - 2009,regular,35,0,30,16,30,35,0.857,regular
Brian Cook,2006 - 2007,regular,47,0,34,19,34,47,0.723,regular
Brian Cook,2010 - 2011,regular,24,0,15,12,15,24,0.625,regular
Brian Roberts,2012 - 2013,regular,77,0,70,33,70,77,0.909,regular
Brian Roberts,2013 - 2014,regular,133,0,125,47,125,133,0.94,regular
Brian Roberts,2014 - 2015,regular,74,0,66,26,66,74,0.892,regular
Brian Roberts,2015 - 2016,regular,47,0,42,19,42,47,0.894,regular
Brian Skinner,2006 - 2007,regular,79,0,46,29,46,79,0.582,regular
Brian Skinner,2007 - 2008,regular,63,0,33,26,33,63,0.524,regular
Brian Skinner,2008 - 2009,regular,47,0,30,16,30,47,0.638,regular
Brook Lopez,2008 - 2009,regular,217,0,172,63,172,217,0.793,regular
Brook Lopez,2009 - 2010,regular,510,0,416,78,416,510,0.816,regular
Brook Lopez,2010 - 2011,regular,489,0,385,80,385,489,0.787,regular
Brook Lopez,2012 - 2013,regular,387,0,293,72,293,387,0.757,regular
Brook Lopez,2013 - 2014,regular,115,0,94,17,94,115,0.817,regular
Brook Lopez,2014 - 2015,regular,270,0,221,62,221,270,0.819,regular
Brook Lopez,2015 - 2016,regular,403,0,317,72,317,403,0.787,regular
Bruce Bowen,2006 - 2007,regular,73,0,43,31,43,73,0.589,regular
Bruce Bowen,2007 - 2008,regular,69,0,45,27,45,69,0.652,regular
Bruce Bowen,2008 - 2009,regular,26,0,14,11,14,26,0.538,regular
Byron Mullens,2011 - 2012,regular,112,0,92,36,92,112,0.821,regular
Byron Mullens,2012 - 2013,regular,99,0,64,26,64,99,0.646,regular
C.J. McCollum,2013 - 2014,regular,34,0,23,14,23,34,0.676,regular
C.J. McCollum,2014 - 2015,regular,70,0,49,24,49,70,0.7,regular
C.J. McCollum,2015 - 2016,playoffs,0,46,37,11,37,46,0.804,playoffs
C.J. McCollum,2015 - 2016,regular,226,0,187,62,187,226,0.827,regular
C.J. Miles,2007 - 2008,regular,52,0,41,22,41,52,0.788,regular
C.J. Miles,2008 - 2009,regular,89,0,78,35,78,89,0.876,regular
C.J. Miles,2009 - 2010,regular,95,0,66,33,66,95,0.695,regular
C.J. Miles,2010 - 2011,regular,196,0,159,57,159,196,0.811,regular
C.J. Miles,2011 - 2012,regular,136,0,108,40,108,136,0.794,regular
C.J. Miles,2012 - 2013,regular,105,0,91,39,91,105,0.867,regular
C.J. Miles,2013 - 2014,regular,75,0,64,26,64,75,0.853,regular
C.J. Miles,2014 - 2015,regular,161,0,130,52,130,161,0.807,regular
C.J. Miles,2015 - 2016,regular,124,0,93,43,93,124,0.75,regular
C.J. Watson,2008 - 2009,regular,193,0,168,55,168,193,0.87,regular
C.J. Watson,2009 - 2010,regular,166,0,128,45,128,166,0.771,regular
C.J. Watson,2010 - 2011,regular,93,0,69,34,69,93,0.742,regular
C.J. Watson,2011 - 2012,regular,104,0,84,31,84,104,0.808,regular
C.J. Watson,2012 - 2013,regular,91,0,71,33,71,91,0.78,regular
C.J. Watson,2013 - 2014,regular,88,0,69,28,69,88,0.784,regular
C.J. Watson,2014 - 2015,regular,167,0,138,40,138,167,0.826,regular
C.J. Watson,2015 - 2016,regular,39,0,34,15,34,39,0.872,regular
Cameron Payne,2015 - 2016,regular,24,0,19,12,19,24,0.792,regular
Carl Landry,2007 - 2008,regular,109,0,72,31,72,109,0.661,regular
Carl Landry,2008 - 2009,regular,193,0,157,48,157,193,0.813,regular
Carl Landry,2009 - 2010,regular,427,0,344,77,344,427,0.806,regular
Carl Landry,2010 - 2011,regular,288,0,213,68,213,288,0.74,regular
Carl Landry,2011 - 2012,regular,184,0,147,35,147,184,0.799,regular
Carl Landry,2012 - 2013,playoffs,0,52,38,12,38,52,0.731,playoffs
Carl Landry,2012 - 2013,regular,272,0,221,68,221,272,0.812,regular
Carl Landry,2014 - 2015,regular,148,0,122,40,122,148,0.824,regular
Carl Landry,2015 - 2016,regular,91,0,67,23,67,91,0.736,regular
Carlos Arroyo,2006 - 2007,regular,166,0,132,55,132,166,0.795,regular
Carlos Arroyo,2007 - 2008,regular,102,0,87,35,87,102,0.853,regular
Carlos Arroyo,2009 - 2010,regular,90,0,76,35,76,90,0.844,regular
Carlos Arroyo,2010 - 2011,regular,47,0,39,18,39,47,0.83,regular
Carlos Boozer,2006 - 2007,playoffs,0,103,76,16,76,103,0.738,playoffs
Carlos Boozer,2006 - 2007,regular,370,0,253,64,253,370,0.684,regular
Carlos Boozer,2007 - 2008,playoffs,0,56,40,11,40,56,0.714,playoffs
Carlos Boozer,2007 - 2008,regular,395,0,290,78,290,395,0.734,regular
Carlos Boozer,2008 - 2009,regular,139,0,97,31,97,139,0.698,regular
Carlos Boozer,2009 - 2010,regular,384,0,285,73,285,384,0.742,regular
Carlos Boozer,2010 - 2011,playoffs,0,60,48,12,48,60,0.8,playoffs
Carlos Boozer,2010 - 2011,regular,244,0,171,51,171,244,0.701,regular
Carlos Boozer,2011 - 2012,regular,137,0,95,48,95,137,0.693,regular
Carlos Boozer,2012 - 2013,regular,261,0,190,64,190,261,0.728,regular
Carlos Boozer,2013 - 2014,regular,193,0,148,57,148,193,0.767,regular
Carlos Boozer,2014 - 2015,regular,150,0,94,44,94,150,0.627,regular
Carlos Delfino,2006 - 2007,regular,88,0,69,32,69,88,0.784,regular
Carlos Delfino,2007 - 2008,regular,156,0,116,55,116,156,0.744,regular
Carlos Delfino,2009 - 2010,regular,117,0,92,41,92,117,0.786,regular
Carlos Delfino,2010 - 2011,regular,75,0,60,24,60,75,0.8,regular
Carlos Delfino,2011 - 2012,regular,48,0,38,18,38,48,0.792,regular
Carlos Delfino,2012 - 2013,regular,56,0,48,25,48,56,0.857,regular
Carmelo Anthony,2006 - 2007,regular,560,0,452,64,452,560,0.807,regular
Carmelo Anthony,2007 - 2008,regular,590,0,465,73,465,590,0.788,regular
Carmelo Anthony,2008 - 2009,playoffs,0,144,119,14,119,144,0.826,playoffs
Carmelo Anthony,2008 - 2009,regular,468,0,371,62,371,468,0.793,regular
Carmelo Anthony,2009 - 2010,regular,613,0,508,68,508,613,0.829,regular
Carmelo Anthony,2010 - 2011,regular,606,0,507,75,507,606,0.837,regular
Carmelo Anthony,2011 - 2012,regular,374,0,300,53,300,374,0.802,regular
Carmelo Anthony,2012 - 2013,playoffs,0,87,77,11,77,87,0.885,playoffs
Carmelo Anthony,2012 - 2013,regular,495,0,414,65,414,495,0.836,regular
Carmelo Anthony,2013 - 2014,regular,541,0,459,76,459,541,0.848,regular
Carmelo Anthony,2014 - 2015,regular,237,0,189,39,189,237,0.797,regular
Carmelo Anthony,2015 - 2016,regular,403,0,334,69,334,403,0.829,regular
Caron Butler,2006 - 2007,regular,328,0,283,55,283,328,0.863,regular
Caron Butler,2007 - 2008,regular,259,0,233,51,233,259,0.9,regular
Caron Butler,2008 - 2009,regular,402,0,345,63,345,402,0.858,regular
Caron Butler,2009 - 2010,regular,315,0,264,67,264,315,0.838,regular
Caron Butler,2010 - 2011,regular,88,0,68,24,68,88,0.773,regular
Caron Butler,2011 - 2012,regular,107,0,87,33,87,107,0.813,regular
Caron Butler,2012 - 2013,regular,90,0,75,34,75,90,0.833,regular
Caron Butler,2013 - 2014,regular,75,0,63,22,63,75,0.84,regular
Caron Butler,2014 - 2015,regular,61,0,55,24,55,61,0.902,regular
Cartier Martin,2010 - 2011,regular,40,0,28,15,28,40,0.7,regular
Cartier Martin,2012 - 2013,regular,28,0,20,11,20,28,0.714,regular
Cartier Martin,2013 - 2014,regular,65,0,48,25,48,65,0.738,regular
Cedric Simmons,2006 - 2007,regular,31,0,14,11,14,31,0.452,regular
Chandler Parsons,2011 - 2012,regular,78,0,43,30,43,78,0.551,regular
Chandler Parsons,2012 - 2013,regular,155,0,113,57,113,155,0.729,regular
Chandler Parsons,2013 - 2014,regular,221,0,164,57,164,221,0.742,regular
Chandler Parsons,2014 - 2015,regular,193,0,139,50,139,193,0.72,regular
Chandler Parsons,2015 - 2016,regular,136,0,93,36,93,136,0.684,regular
Channing Frye,2006 - 2007,regular,107,0,84,37,84,107,0.785,regular
Channing Frye,2007 - 2008,regular,109,0,85,40,85,109,0.78,regular
Channing Frye,2008 - 2009,regular,36,0,26,17,26,36,0.722,regular
Channing Frye,2009 - 2010,regular,121,0,98,46,98,121,0.81,regular
Channing Frye,2010 - 2011,regular,107,0,89,42,89,107,0.832,regular
Channing Frye,2011 - 2012,regular,82,0,73,33,73,82,0.89,regular
Channing Frye,2013 - 2014,regular,95,0,78,40,78,95,0.821,regular
Channing Frye,2014 - 2015,regular,35,0,31,18,31,35,0.886,regular
Channing Frye,2015 - 2016,regular,35,0,30,16,30,35,0.857,regular
Charles Jenkins,2011 - 2012,regular,39,0,34,15,34,39,0.872,regular
Charles Jenkins,2012 - 2013,regular,22,0,12,12,12,22,0.545,regular
Charlie Bell,2006 - 2007,regular,168,0,131,54,131,168,0.78,regular
Charlie Bell,2007 - 2008,regular,87,0,70,30,70,87,0.805,regular
Charlie Bell,2008 - 2009,regular,80,0,66,31,66,80,0.825,regular
Charlie Bell,2009 - 2010,regular,67,0,48,24,48,67,0.716,regular
Charlie Villanueva,2006 - 2007,regular,84,0,68,26,68,84,0.81,regular
Charlie Villanueva,2007 - 2008,regular,157,0,123,49,123,157,0.783,regular
Charlie Villanueva,2008 - 2009,regular,240,0,201,67,201,240,0.838,regular
Charlie Villanueva,2009 - 2010,regular,130,0,106,47,106,130,0.815,regular
Charlie Villanueva,2010 - 2011,regular,116,0,89,42,89,116,0.767,regular
Charlie Villanueva,2012 - 2013,regular,50,0,27,19,27,50,0.54,regular
Charlie Villanueva,2014 - 2015,regular,35,0,20,12,20,35,0.571,regular
Chase Budinger,2009 - 2010,regular,87,0,67,38,67,87,0.77,regular
Chase Budinger,2010 - 2011,regular,138,0,118,42,118,138,0.855,regular
Chase Budinger,2011 - 2012,regular,70,0,54,30,54,70,0.771,regular
Chase Budinger,2012 - 2013,regular,43,0,32,13,32,43,0.744,regular
Chase Budinger,2013 - 2014,regular,39,0,32,14,32,39,0.821,regular
Chase Budinger,2014 - 2015,regular,81,0,67,31,67,81,0.827,regular
Chase Budinger,2015 - 2016,regular,56,0,39,22,39,56,0.696,regular
Chauncey Billups,2006 - 2007,playoffs,0,113,94,16,94,113,0.832,playoffs
Chauncey Billups,2006 - 2007,regular,431,0,382,66,382,431,0.886,regular
Chauncey Billups,2007 - 2008,playoffs,0,95,79,14,79,95,0.832,playoffs
Chauncey Billups,2007 - 2008,regular,438,0,401,75,401,438,0.916,regular
Chauncey Billups,2008 - 2009,playoffs,0,117,106,15,106,117,0.906,playoffs
Chauncey Billups,2008 - 2009,regular,458,0,418,72,418,458,0.913,regular
Chauncey Billups,2009 - 2010,regular,512,0,466,70,466,512,0.91,regular
Chauncey Billups,2010 - 2011,regular,419,0,384,69,384,419,0.916,regular
Chauncey Billups,2011 - 2012,regular,95,0,85,18,85,95,0.895,regular
Chauncey Billups,2012 - 2013,regular,48,0,45,14,45,48,0.938,regular
Chris Andersen,2008 - 2009,regular,181,0,130,57,130,181,0.718,regular
Chris Andersen,2009 - 2010,regular,236,0,164,57,164,236,0.695,regular
Chris Andersen,2010 - 2011,regular,135,0,86,34,86,135,0.637,regular
Chris Andersen,2011 - 2012,regular,82,0,50,24,50,82,0.61,regular
Chris Andersen,2012 - 2013,playoffs,0,49,36,17,36,49,0.735,playoffs
Chris Andersen,2012 - 2013,regular,93,0,63,30,63,93,0.677,regular
Chris Andersen,2013 - 2014,playoffs,0,38,26,14,26,38,0.684,playoffs
